,Unnamed: 0,I,J,CELLACTIVE_x,X,Y,Conc,CELLACTIVE_y,_count,_sum,_mean,_median,_min,_max,_range,Comparison_Output,Conc-_sum_PercentDiff,Conc-_mean_PercentDiff,Conc-_median_PercentDiff,Conc-_min_PercentDiff,Conc-_max_PercentDiff
535845,535845,461,406,1,568907.5,146537.5,337.2000122,1,4,1369.899994,342.4749985,342.3500061,323.8999939,361.2999878,37.3999939,FALSE,120.99%,1.55%,1.52%,4.02%,6.90%
499743,499743,430,388,1,568637.5,147002.5,310.3999939,1,4,1261.099976,315.2749939,315.3499908,303.6000061,326.7999878,23.19998169,FALSE,120.99%,1.56%,1.58%,2.21%,5.15%
500909,500909,431,390,1,568667.5,146987.5,301.5,1,4,1225,306.25,306.3500061,294,318.2999878,24.29998779,FALSE,121.00%,1.56%,1.60%,2.52%,5.42%
530016,530016,456,397,1,568772.5,146612.5,1307.099976,1,4,5311.199951,1327.799988,1327.25,1228.5,1428.199951,199.6999512,FALSE,121.00%,1.57%,1.53%,6.20%,8.85%
539338,539338,464,407,1,568922.5,146492.5,365.5,1,4,1485.200012,371.3000031,371.3999939,357.7000122,384.7000122,27,FALSE,121.00%,1.57%,1.60%,2.16%,5.12%
538175,538175,463,408,1,568937.5,146507.5,281.6000061,1,4,1144.399994,286.0999985,286.25,270.2999878,301.6000061,31.30001831,FALSE,121.01%,1.59%,1.64%,4.09%,6.86%
534680,534680,460,405,1,568892.5,146552.5,369.8999939,1,4,1503.300018,375.8250046,375.8000031,353.6000061,398.1000061,44.5,FALSE,121.01%,1.59%,1.58%,4.51%,7.34%
534682,534682,460,407,1,568922.5,146552.5,228.3999939,1,4,928.2999878,232.0749969,232.1499939,212.6000061,251.3999939,38.79998779,FALSE,121.02%,1.60%,1.63%,7.17%,9.59%
556804,556804,479,413,1,569012.5,146267.5,162.1000061,1,4,658.8999939,164.7249985,164.75,160.1999969,169.1999969,9,FALSE,121.02%,1.61%,1.62%,1.18%,4.29%
548636,548636,472,393,1,568712.5,146372.5,595.0999756,1,4,2419.099976,604.7749939,604.3499756,577.7000122,632.7000122,55,FALSE,121.03%,1.61%,1.54%,2.97%,6.12%
521897,521897,449,426,1,569207.5,146717.5,490.7000122,1,4,1994.799988,498.6999969,496.0500031,396.1000061,606.5999756,210.4999695,FALSE,121.03%,1.62%,1.08%,21.34%,21.12%
550965,550965,474,394,1,568727.5,146342.5,458.3999939,1,4,1863.5,465.875,465.6499939,449.6000061,482.6000061,33,FALSE,121.03%,1.62%,1.57%,1.94%,5.14%
528852,528852,455,397,1,568772.5,146627.5,1068,1,4,4342.100037,1085.525009,1083.400024,992.7000122,1182.599976,189.8999634,FALSE,121.04%,1.63%,1.43%,7.31%,10.18%
510256,510256,439,425,1,569192.5,146867.5,386.5,1,4,1571.399994,392.8499985,382.5,378.5,427.8999939,49.3999939,FALSE,121.04%,1.63%,1.04%,2.09%,10.17%
533511,533511,459,400,1,568817.5,146567.5,919.5999756,1,4,3738.899963,934.7249908,934.6499939,894.7999878,974.7999878,80,FALSE,121.04%,1.63%,1.62%,2.73%,5.83%
534654,534654,460,379,1,568502.5,146552.5,463.3999939,1,4,1884.200012,471.0500031,469.8000031,436.1000061,508.5,72.3999939,FALSE,121.04%,1.64%,1.37%,6.07%,9.28%
534659,534659,460,384,1,568577.5,146552.5,1646.900024,1,4,6696.400024,1674.100006,1672.5,1438,1913.400024,475.4000244,FALSE,121.04%,1.64%,1.54%,13.54%,14.97%
531177,531177,457,394,1,568727.5,146597.5,4488.100098,1,4,18250.2002,4562.550049,4558.150146,4159.100098,4974.799805,815.699707,FALSE,121.05%,1.65%,1.55%,7.61%,10.29%
533514,533514,459,403,1,568862.5,146567.5,506.8999939,1,4,2061.400024,515.3500061,515.1999969,486.6000061,544.4000244,57.80001831,FALSE,121.05%,1.65%,1.62%,4.09%,7.13%
554453,554453,477,390,1,568667.5,146297.5,217.8000031,1,4,885.8000031,221.4500008,221.5500031,208.3000031,234.3999939,26.09999084,FALSE,121.06%,1.66%,1.71%,4.46%,7.34%
554477,554477,477,414,1,569027.5,146297.5,139.6999969,1,4,568.2000122,142.0500031,142.4000015,137.8000031,145.6000061,7.800003052,FALSE,121.06%,1.67%,1.91%,1.37%,4.14%
531165,531165,457,382,1,568547.5,146597.5,3858.199951,1,4,15693,3923.25,3928.650024,3390.300049,4445.399902,1055.099854,FALSE,121.06%,1.67%,1.81%,12.91%,14.14%
517252,517252,445,437,1,569372.5,146777.5,425,1,4,1728.700012,432.1750031,431.6999969,415.7000122,449.6000061,33.8999939,FALSE,121.07%,1.67%,1.56%,2.21%,5.63%
540502,540502,465,407,1,568922.5,146477.5,383.6000061,1,4,1560.399994,390.0999985,390.1999969,378.5,401.5,23,FALSE,121.07%,1.68%,1.71%,1.34%,4.56%
533513,533513,459,402,1,568847.5,146567.5,625.4000244,1,4,2544.400024,636.1000061,635.9500122,603.4000244,669.0999756,65.69995117,FALSE,121.08%,1.70%,1.67%,3.58%,6.75%
530000,530000,456,381,1,568532.5,146612.5,4305.399902,1,4,17516.29956,4379.07489,4386.349854,3865.300049,4878.299805,1012.999756,FALSE,121.08%,1.70%,1.86%,10.77%,12.48%
537009,537009,462,406,1,568907.5,146522.5,373.8999939,1,4,1521.299957,380.3249893,380.3499908,362.2999878,398.2999878,36,FALSE,121.08%,1.70%,1.71%,3.15%,6.32%
552130,552130,475,395,1,568742.5,146327.5,415.7000122,1,4,1691.400024,422.8500061,422.7000122,409.6000061,436.3999939,26.79998779,FALSE,121.09%,1.71%,1.67%,1.48%,4.86%
552123,552123,475,388,1,568637.5,146327.5,273.1000061,1,4,1111.200012,277.8000031,277.75,267.6000061,288.1000061,20.5,FALSE,121.09%,1.71%,1.69%,2.03%,5.35%
554449,554449,477,386,1,568607.5,146297.5,143.5,1,4,583.8999939,145.9749985,145.8000031,134.8999939,157.3999939,22.5,FALSE,121.09%,1.71%,1.59%,6.18%,9.24%
531180,531180,457,397,1,568772.5,146597.5,1534,1,4,6242.300049,1560.575012,1559.950012,1460,1662.400024,202.4000244,FALSE,121.09%,1.72%,1.68%,4.94%,8.03%
534679,534679,460,404,1,568877.5,146552.5,458.7999878,1,4,1866.999969,466.7499924,466.6499939,441.8999939,491.7999878,49.8999939,FALSE,121.09%,1.72%,1.70%,3.75%,6.94%
540460,540460,465,365,1,568292.5,146477.5,168.8000031,1,4,686.8999939,171.7249985,171.9000015,161.8999939,181.1999969,19.30000305,FALSE,121.09%,1.72%,1.82%,4.17%,7.09%
533512,533512,459,401,1,568832.5,146567.5,763,1,4,3104.899963,776.2249908,776.0499878,739.2999878,813.5,74.20001221,FALSE,121.09%,1.72%,1.70%,3.16%,6.41%
527651,527651,454,360,1,568217.5,146642.5,171.5,1,4,697.8999939,174.4749985,174.5,166.1999969,182.6999969,16.5,FALSE,121.10%,1.72%,1.73%,3.14%,6.32%
553295,553295,476,396,1,568757.5,146312.5,375.8999939,1,4,1529.699982,382.4249954,382.3499908,371.7999878,393.2000122,21.40002441,FALSE,121.10%,1.72%,1.70%,1.10%,4.50%
539295,539295,464,364,1,568277.5,146492.5,188.3999939,1,4,766.6999969,191.6749992,191.7999954,182.5,200.6000061,18.1000061,FALSE,121.10%,1.72%,1.79%,3.18%,6.27%
509064,509064,438,397,1,568772.5,146882.5,132.3000031,1,4,538.4000015,134.6000004,134.5999985,117.0999985,152.1000061,35.00000763,FALSE,121.10%,1.72%,1.72%,12.19%,13.92%
516083,516083,444,432,1,569297.5,146792.5,1110.199951,1,4,4518.400024,1129.600006,1128.649963,1040.300049,1220.800049,180.5,FALSE,121.10%,1.73%,1.65%,6.50%,9.49%
555614,555614,478,387,1,568622.5,146282.5,129.8000031,1,4,528.3000031,132.0750008,132,124.3000031,140,15.69999695,FALSE,121.11%,1.74%,1.68%,4.33%,7.56%
535844,535844,461,405,1,568892.5,146537.5,414.1000061,1,4,1685.500031,421.3750076,421.3500061,400.2000122,442.6000061,42.3999939,FALSE,121.11%,1.74%,1.74%,3.41%,6.65%
499742,499742,430,387,1,568622.5,147002.5,289.8999939,1,4,1180,295,295,283,307,24,FALSE,121.11%,1.74%,1.74%,2.41%,5.73%
528836,528836,455,381,1,568532.5,146627.5,6509.5,1,4,26496.1001,6624.025024,6646.300049,5964.399902,7239.100098,1274.700195,FALSE,121.11%,1.74%,2.08%,8.74%,10.61%
